plate_map_name	well_position	broad_sample	mg_per_ml	mmoles_per_liter	solvent	Metadata_broad_sample_type	broad_sample_type
C-7161-01-LM6-001	A01	NA	NA	NA	DMSO	control	control
C-7161-01-LM6-001	A02	NA	NA	NA	DMSO	control	control
C-7161-01-LM6-001	A03	NA	NA	NA	DMSO	control	control
C-7161-01-LM6-001	A04	NA	NA	NA	DMSO	control	control
C-7161-01-LM6-001	A05	NA	NA	NA	DMSO	control	control
C-7161-01-LM6-001	A06	NA	NA	NA	DMSO	control	control
C-7161-01-LM6-001	A07	BRD-K25114078-003-08-1	1.10546	10	DMSO	permutation	permutation
C-7161-01-LM6-001	A08	BRD-K25114078-003-08-1	0.36848666666638324	3.3333333333307693	DMSO	permutation	permutation
C-7161-01-LM6-001	A09	BRD-K25114078-003-08-1	0.12282888888936132	1.1111111111153846	DMSO	permutation	permutation
C-7161-01-LM6-001	A10	BRD-K25114078-003-08-1	0.04094296296283699	0.37037037036923076	DMSO	permutation	permutation
C-7161-01-LM6-001	A11	BRD-K25114078-003-08-1	0.013647654320945663	0.12345679012307692	DMSO	permutation	permutation
C-7161-01-LM6-001	A12	BRD-K25114078-003-08-1	0.004549218107265339	0.04115226337692308	DMSO	permutation	permutation
C-7161-01-LM6-001	A13	BRD-K25204779-001-01-1	4.02491	10	DMSO	permutation	permutation
C-7161-01-LM6-001	A14	BRD-K25204779-001-01-1	1.3416366666656345	3.3333333333307693	DMSO	permutation	permutation
C-7161-01-LM6-001	A15	BRD-K25204779-001-01-1	0.44721222222394225	1.1111111111153846	DMSO	permutation	permutation
C-7161-01-LM6-001	A16	BRD-K25204779-001-01-1	0.14907074074028207	0.37037037036923076	DMSO	permutation	permutation
C-7161-01-LM6-001	A17	BRD-K25204779-001-01-1	0.049690246913427355	0.12345679012307692	DMSO	permutation	permutation
C-7161-01-LM6-001	A18	BRD-K25204779-001-01-1	0.016563415638841145	0.04115226337692308	DMSO	permutation	permutation
C-7161-01-LM6-001	A19	BRD-K25361343-001-01-6	4.7764	10	DMSO	permutation	permutation
C-7161-01-LM6-001	A20	BRD-K25361343-001-01-6	1.5921333333321086	3.3333333333307693	DMSO	permutation	permutation
C-7161-01-LM6-001	A21	BRD-K25361343-001-01-6	0.5307111111131523	1.1111111111153846	DMSO	permutation	permutation
C-7161-01-LM6-001	A22	BRD-K25361343-001-01-6	0.1769037037031594	0.37037037036923076	DMSO	permutation	permutation
C-7161-01-LM6-001	A23	BRD-K25361343-001-01-6	0.05896790123438646	0.12345679012307692	DMSO	permutation	permutation
C-7161-01-LM6-001	A24	BRD-K25361343-001-01-6	0.019655967079353538	0.04115226337692308	DMSO	permutation	permutation
C-7161-01-LM6-001	B01	NA	NA	NA	DMSO	control	control
C-7161-01-LM6-001	B02	NA	NA	NA	DMSO	control	control
C-7161-01-LM6-001	B03	NA	NA	NA	DMSO	control	control
C-7161-01-LM6-001	B04	NA	NA	NA	DMSO	control	control
C-7161-01-LM6-001	B05	NA	NA	NA	DMSO	control	control
C-7161-01-LM6-001	B06	NA	NA	NA	DMSO	control	control
C-7161-01-LM6-001	B07	BRD-K25140590-001-03-0	2.332631	10	DMSO	permutation	permutation
C-7161-01-LM6-001	B08	BRD-K25140590-001-03-0	0.7775436666660686	3.3333333333307693	DMSO	permutation	permutation
